RECEPTOR_LIGAND,pIC50,     ESTAT,    HB,    VDW,    DSOLV
    3pm0_ab_1_BC,6.61978875828839,-0.0605,-1.2707,-12.5334,3.2176
    3pm0_ab_4_BC,4.69897000433602,-0.0482,-0.5903,-8.6868,1.5751
    3pm0_ab_5_BC,6.60205999132796,-0.3955,-1.0635,-12.5881,1.7955
    3pm0_ab_6_BC,6.92081875395238,-0.1713,-0.6,-12.3158,1.2083
    3pm0_ab_7_BC,7.15490195998574,-0.0624,-0.5607,-12.482,1.4207
    3pm0_ab_8_BC,6.30102999566398,-0.0453,-1.1055,-13.1453,2.0786
    3pm0_ab_9_BC,6.52287874528034,-0.0228,-0.0005,-13.0755,1.9534
    3pm0_ab_10_BC,6.2518119729938,-0.0298,-1.0748,-12.954,2.0329
    3pm0_ab_12_BC,6.50863830616573,-0.0517,-1.1159,-12.0734,2.0072
    3pm0_ab_13_BC,6.39794000867204,-0.321,-0.9191,-11.8205,1.5699
    3pm0_ab_14_BC,7.34678748622466,-0.0756,-1.1145,-11.0458,1.142
    3pm0_ab_15_BC,5.39794000867204,-0.0929,-0.0007,-12.1119,1.0188
    3pm0_ab_16_BC,5.39794000867204,0.4047,-0.5734,-12.3013,1.0921
    3pm0_ab_17_BC,5.39794000867204,-0.0798,-1.337,-9.2744,2.2508
    3pm0_ab_18_BC,5.39794000867204,-0.0961,-1.3425,-9.0472,2.3442
    3pm0_ab_19_BC,5.39794000867204,-0.721,-1.2364,-9.5791,2.7783
    3pm0_ab_20_BC,5.39794000867204,-0.6423,-0.9877,-9.5903,3.0086
    3pm0_ab_21_BC,5.39794000867204,-0.5412,-0.5817,-10.0125,2.0406
    3pm0_ab_22_BC,7.25963731050576,-0.085,-1.2586,-9.9051,2.1421
    3pm0_ab_23_BC,6.69897000433602,-0.1437,-1.9184,-9.2954,2.2737
    3pm0_ab_29_BC,7.82390874094432,0.0232,-0.0003,-13.2018,1.0247
    3pm0_ab_30_BC,6,-0.3168,-1.8358,-10.5445,2.8115
    3pm0_ab_32_BC,5.39794000867204,-0.0195,-0.0436,-11.2007,1.7656
    3pm0_ab_33_BC,5.39794000867204,-0.104,-0.0916,-11.5455,2.2966
    3pm0_ab_34_BC,5.52287874528034,-0.1259,-1.0514,-18.5727,6.0966
    3pm0_ab_36_BC,6.58502665202918,-0.0715,-1.3038,-11.9608,2.5348
    3pm0_ab_37_BC,6.61978875828839,-0.049,-1.3408,-12.2374,2.7748
    3pm0_ab_38_BC,6.95860731484177,-0.1286,-1.5102,-11.8717,2.8054
    3pm0_ab_39_BC,4.58502665202918,-0.3739,-1.0673,-12.0151,2.7225
    3pm0_ab_40_BC,5.43179827593301,-0.3778,-1.5429,-11.7838,2.794
    3pm0_ab_41_BC,5.95860731484177,-0.3593,-1.1607,-12.195,2.7623
    3pm0_ab_42_BC,4.72124639904717,0.0038,-1.5093,-13.0334,3.1399
    3pm0_ab_44_BC,5.36653154442041,0.0119,-0.3078,-9.0826,1.1657
    3pm0_ab_46_BC,4.92081875395238,-0.0292,-1.1655,-10.3159,0.5725
    3pm0_ab_47_BC,5.92081875395238,0.0006,-0.0001,-10.6553,0.9017
    3pm0_ab_48_BC,4.92081875395238,-0.0285,-0.0002,-12.1417,0.5982
    3pm0_ab_49_BC,5.10790539730952,-0.0731,-0.0003,-12.4217,1.3962
    3pm0_ab_50_BC,5.67778070526608,-0.0337,-0.5243,-9.1749,1.1788
    3pm0_ab_51_BC,5.2839966563652,0.0067,-0.5638,-9.994,1.111
    3pm0_ab_52_BC,7.69897000433602,-0.3726,-2.2043,-11.7886,3.2126
    3pm0_ab_53_BC,7.60205999132796,-0.1235,-1.4085,-12.6132,3.3038
    3pm0_ab_54_BC,5.77494930386195,-0.1977,-0.4466,-9.5524,1.6994
    3pm0_ab_55_BC,5.98970004336019,-0.246,-0.6047,-12.2493,2.8026
    3pm0_ab_56_BC,8.30102999566398,0.0843,-0.004,-16.1031,3.2186
    3pm0_ab_57_BC,8.45593195564972,0.0138,-0.0037,-16.6297,3.215
    3pm0_ab_60_BC,8.63827216398241,0.0939,-0.0034,-16.0608,3.0974
    3pm0_ab_61_BC,8.92081875395238,0.0387,-0.0031,-16.2887,3.4163
    3pm0_ab_62_BC,8.52287874528034,0.0815,-0.0035,-16.3756,3.4364
    3pm0_ab_63_BC,8.09691001300806,0.0729,-0.0034,-16.4011,3.4592
    3pm0_ab_64_BC,8.79588001734408,-0.1372,-0.3325,-15.8791,3.5331
    3pm0_ab_65_BC,8.04575749056068,-0.0178,-0.0182,-15.7041,2.9313
    3pm0_ab_66_BC,8.95860731484177,0.1333,-0.0032,-16.2685,2.7285
    3pm0_ab_67_BC,8.60205999132796,-0.031,-0.0212,-16.9924,3.4725
    3pm0_ab_93_BC,4.92081875395238,-0.0516,-0.8249,-14.2521,1.9414
    3pm0_ab_94_BC,5.1249387366083,-0.0653,-0.6608,-16.5219,2.7265
    3pm0_ab_95_BC,4.75202673363819,-0.0755,-0.5723,-15.5841,1.6729
    3pm0_ab_96_BC,4.57511836336893,-0.0452,-1.0529,-13.6122,1.9867
    3pm0_ab_97_BC,5.88605664769316,-0.0795,-0.6058,-11.5764,1.9704
    3pm0_ab_98_BC,5.50863830616573,-0.0658,-1.0698,-11.5183,2.4409
    3pm0_ab_99_BC,4.41793663708829,-0.0295,-1.0738,-9.8712,2.672
    3pm0_ab_100_BC,5.02227639471115,-0.235,-3.9817,-20.1653,7.1859
    3pm0_ab_101_BC,4.49894073778225,0.0106,-0.5256,-11.6351,2.1575
    3pm0_ab_129_BC,6.88140463477624,0.0225,-0.0024,-12.9508,1.4483
    3pm0_ab_130_BC,7.69464863055338,-0.0088,-0.6095,-15.542,2.5005
    3pm0_ab_131_BC,6.85604888357604,0.0261,-0.0024,-13.1906,1.7575
    3pm0_ab_132_BC,7.00612308505879,0.1285,-0.0069,-13.0986,1.6243
    3pm0_ab_133_BC,6.58569531187167,-0.1225,-0.374,-13.19,1.9849
    3pm0_ab_134_BC,6.51927462101151,-0.0667,-1.0433,-16.1473,3.1486
    3pm0_ab_135_BC,6.78781239559604,-0.029,-0.4292,-7.9838,1.217
    3pm0_ab_136_BC,7.74472749489669,-0.016,-0.5544,-11.1859,2.4745
    3pm0_ab_137_BC,8.69897000433602,-0.0246,-0.5233,-9.7572,2.2971
    3pm0_ab_138_BC,6.39794000867204,-0.0855,-1.0141,-9.7916,2.9202
    3pm0_ab_139_BC,8.15490195998574,-0.0145,-0.0001,-9.279,1.0788
    3pm0_ab_140_BC,6.92081875395238,-1.0901,-2.5788,-5.4795,2.7629
    3pm0_ab_141_BC,9.69897000433602,0.0462,-0.0023,-15.3459,2.5327
    3pm0_ab_142_BC,7.30102999566398,0.1718,-0.0416,-15.5683,2.4422
    3pm0_ab_143_BC,7.30102999566398,0.0391,-0.0033,-15.9421,3.0671
    3pm0_ab_144_BC,7.30102999566398,0.2249,-0.0441,-16.1464,2.9881
    3pm0_ab_145_BC,5.05060999335509,0.0269,-0.0038,-16.5383,3.1045
    3pm0_ab_146_BC,7.3767507096021,0.6304,-0.0542,-17.109,3.9148
    3pm0_ab_147_BC,8,0.2632,-0.0548,-17.8177,3.4001
    3pm0_ab_148_BC,6,0.1919,-0.0457,-16.5034,2.353
    3pm0_ab_149_BC,5.17392519729917,-0.012,-0.1406,-17.0789,2.513
    3pm0_ab_150_BC,8,0.1406,-0.5592,-17.3463,3.0899
    3pm0_ab_151_BC,5.1249387366083,-0.0008,-0.0037,-16.3937,3.0404
    3pm0_ab_152_BC,7.49485002168009,-0.0745,-0.0029,-16.8233,3.8312
    3pm0_ab_153_BC,7.4089353929735,0.1339,-0.1646,-16.9159,4.007
    3pm0_ab_154_BC,5.05060999335509,0.3329,-0.0472,-17.0594,3.9746
    3pm0_ab_155_BC,5.22914798835786,0.3229,-0.0575,-17.9147,3.9283
    3pm0_ab_156_BC,6.09691001300806,0.0069,-0.0027,-16.8016,3.7056
    3pm0_ab_157_BC,5.33724216831843,-0.1758,-0.362,-14.4993,2.9868
    3pm0_ab_158_BC,6.15490195998574,-0.211,-0.4036,-16.8073,3.2844
    3pm0_ab_159_BC,7.67778070526608,-0.056,-0.5767,-15.8812,3.3076
    3pm0_ab_160_BC,5.03621217265444,0.0041,-1.1775,-17.5293,4.065
    3pm0_ab_161_BC,5.04095860767891,0.0689,-0.7293,-18.0244,3.9236
    3pm0_ab_162_BC,8,0.0851,-0.5393,-18.0942,3.2675
    3pm0_ab_163_BC,5.05060999335509,-0.0275,-0.8562,-16.5268,3.4956
    3pm0_ab_164_BC,8,-0.0503,-0.5755,-14.7083,3.0918
    3pm0_ab_165_BC,5.03151705144607,-0.0037,-0.5264,-17.7239,4.0007
    3pm0_ab_166_BC,5.10790539730952,0.0167,-0.8691,-16.9539,3.7224
    3pm0_ab_167_BC,8,0.1236,-1.5463,-18.0694,3.8499
    3pm0_ab_168_BC,8,-0.0642,-1.1263,-16.0329,3.3828
    3pm0_ab_169_BC,8.35654732351381,0.1164,-0.0009,-13.8526,0.6532
    3pm0_ab_170_BC,6.87095494011204,0.1104,-0.0011,-13.8733,0.6648
    3pm0_ab_171_BC,7.04431224968649,-0.017,-0.9646,-13.6568,1.197
    3pm0_ab_172_BC,7.62893213772826,0.0907,-0.0018,-14.482,0.6028
    3pm0_ab_173_BC,7.16685288808722,0.1091,-0.0008,-13.8855,0.5485
    3pm0_ab_174_BC,7.87289520163519,0.1142,-0.0007,-13.908,0.5481
    3pm0_ab_175_BC,7.61439372640169,0.0506,-0.0017,-14.5737,0.6326
    3pm0_ab_176_BC,7.53165266958784,0.0619,-0.0015,-14.5347,0.6311
    3pm0_ab_177_BC,7.41116827440579,0.0582,-0.0032,-12.5199,0.451
    3pm0_ab_178_BC,7.39469495385889,0.0888,-0.0034,-12.6171,0.79
    3pm0_ab_179_BC,7.17979854051436,0.0911,-0.01,-12.7302,0.4706
    3pm0_ab_180_BC,6.2677671197795,0.1108,-0.0006,-12.2484,0.5095
    3pm0_ab_181_BC,8.58502665202918,0.1257,-0.0016,-14.1806,1.3322
    3pm0_ab_182_BC,8.74472749489669,0.0444,-0.923,-13.6335,1.4081
    3pm0_ab_183_BC,7.36251027048749,0.0096,-0.5879,-12.9433,1.7528
    3pm0_ab_184_BC,6.8021683066711,0.0355,-0.4807,-12.39,1.0815
    3pm0_ab_185_BC,7.04479346245806,0.0657,-0.341,-12.7776,1.3565
    3pm0_ab_186_BC,7.08671609823958,0.0191,-0.4756,-12.6905,1.4093
    3pm0_ab_187_BC,7.31596296251348,0.0334,-0.4655,-12.7831,1.4698
    3pm0_ab_188_BC,7.25649023527157,-0.0217,-0.0012,-13.2528,1.206
    3pm0_ab_189_BC,7.33161408331,-0.0344,-0.0005,-13.3158,1.2616
    3pm0_ab_190_BC,7.39577394691553,-0.0535,-0.6049,-13.0629,1.2426
    3pm0_ab_191_BC,7.11407366019857,-0.1632,-1.1444,-12.5319,1.6339
    3pm0_ab_192_BC,7.42250820016278,-0.0351,-0.0045,-13.5389,1.5083
    3pm0_ab_193_BC,6.86966623150499,0.0527,-0.4668,-12.3777,1.4325
    3pm0_ab_194_BC,7.77728352885242,0.0206,-0.472,-12.2971,1.4859
    3pm0_ab_195_BC,7.04479346245806,0.031,-0.4609,-12.3141,1.5329
    3pm0_ab_196_BC,7.28567024025477,-0.1328,-0.6273,-11.9451,1.8071
    3pm0_ab_197_BC,6,-0.1032,-0.5659,-17.4899,3.0959
    3pm0_ab_198_BC,7.01999662841625,0.0208,-0.0008,-12.1981,-0.1584
    3pm0_ab_199_BC,7.28903688100472,0.0093,-0.0004,-13.0067,-0.3334
    3pm0_ab_200_BC,6.94923368876696,-0.0442,-0.8291,-12.4557,0.3517
    3pm0_ab_201_BC,8.30980391997149,-0.0499,-0.4465,-15.4577,1.7484
    3pm0_ab_202_BC,6.82016107197681,0.0309,-0.448,-12.6117,0.8069
    3pm0_ab_203_BC,8.31875876262441,-0.1253,-1.3384,-13.7163,2.2028
